column,role,reason
fid,IDENTIFIER,
MS_ID,IDENTIFIER,
Per_extent,PF_FEATURE,
Tem_extent,TF_FEATURE,
Street_type_NOR,SHARED_FEATURE,
Resident_NOR,SHARED_FEATURE,
DayNight_NOR,SHARED_FEATURE,
PRM_NOR,SHARED_FEATURE,
Index_population,COMPOSITE_INDEX,
N_PFlossR_2kiw,PF_FEATURE,
N_PFlossR_2ktw,PF_FEATURE,
N_PFlossR_2kmw,PF_FEATURE,
PF_Index_acc_loss,COMPOSITE_INDEX,
PFResident_lossR,PF_FEATURE,
PFDaynight_lossR,PF_FEATURE,
PFPRM_lossR,PF_FEATURE,
PF_Index_population,COMPOSITE_INDEX,
PFAB2k_lossR,EXCLUDED,raw_ab_lossR_replaced_by_normalized_NOR
N_PFAB2k_lossR,EXCLUDED,raw_ab_lossR_replaced_by_normalized_NOR
PFAB2k_NOR,PF_FEATURE,
PFAB5k_lossR,EXCLUDED,raw_ab_lossR_replaced_by_normalized_NOR
N_PFAB5k_lossR,EXCLUDED,raw_ab_lossR_replaced_by_normalized_NOR
PFAB5k_NOR,PF_FEATURE,
PFABC_NOR,PF_FEATURE,
PF_Index_centrality,COMPOSITE_INDEX,
PF_Index_V_equal,COMPOSITE_INDEX,
N_TFlossR_2kiw,TF_FEATURE,
N_TFlossR_2ktw,TF_FEATURE,
N_TFlossR_2kmw,TF_FEATURE,
TF_Index_acc_loss,COMPOSITE_INDEX,
TFResident_lossR,TF_FEATURE,
TFDaynight_lossR,TF_FEATURE,
TFPRM_lossR,TF_FEATURE,
TF_Index_population,COMPOSITE_INDEX,
TFAB2k_lossR,EXCLUDED,raw_ab_lossR_replaced_by_normalized_NOR
N_TFAB2k_lossR,EXCLUDED,raw_ab_lossR_replaced_by_normalized_NOR
TFAB2k_NOR,TF_FEATURE,
TFAB5k_lossR,EXCLUDED,raw_ab_lossR_replaced_by_normalized_NOR
N_TFAB5k_lossR,EXCLUDED,raw_ab_lossR_replaced_by_normalized_NOR
TFAB5k_NOR,TF_FEATURE,
TFABC_NOR,TF_FEATURE,
TF_Index_centrality,COMPOSITE_INDEX,
TF_Index_V_equal,COMPOSITE_INDEX,
PF_Index_Risk_equal,COMPOSITE_INDEX,
TF_Index_Risk_equal,COMPOSITE_INDEX,
